genre_id,genre_name,description,parent_genre_id,popularity_rank,avg_box_office_millions,number_of_films,earliest_example,primary_audience,typical_budget_range,typical_content_rating,common_themes,common_plot_elements,popular_subgenres,related_genres,peak_decade
GEN-301,Drama,Character-driven stories focusing on emotional themes and relationships,NULL,1,78.5,42500,1895,Adults,$1M-$40M,R|PG-13,Human condition|Personal growth,Character arcs|Internal conflict,Period Drama|Legal Drama|Political Drama,Romance|Biography,1970s
GEN-302,Crime,Stories involving criminal activities and their consequences,GEN-301,8,92.1,8750,1903,Adults,$10M-$80M,R,Justice|Morality|Greed,Heists|Investigations|Gang wars,Gangster|Heist|Detective,Thriller|Mystery,1970s
GEN-303,Gangster,Stories about organized crime and criminal organizations,GEN-302,12,145.3,1250,1912,Adults,$15M-$100M,R,Loyalty|Power|Family,Rise and fall|Betrayal|Violence,Mafia|Yakuza|Crime family,Crime|Thriller,1970s
GEN-304,Action,Fast-paced stories with physical stunts and combat,NULL,2,195.8,12500,1903,General audience,$30M-$200M,PG-13|R,Heroism|Justice|Survival,Chase sequences|Combat|Explosions,Martial Arts|War|Spy,Adventure|Thriller,2000s
GEN-305,Thriller,Suspenseful stories designed to excite and captivate,NULL,4,118.7,15000,1920,Adults,$10M-$100M,PG-13|R,Danger|Tension|Deception,Plot twists|Pursuit|Time pressure,Psychological|Crime|Action,Horror|Mystery,1990s
GEN-306,Superhero,Stories featuring characters with extraordinary abilities fighting for good,GEN-304,7,287.5,150,1978,General audience,$80M-$300M,PG-13,Heroism|Responsibility|Identity,Origin stories|World-saving|Secret identities,Marvel|DC|Independent,Action|Fantasy,2010s
GEN-307,Horror,Stories designed to frighten and disturb the audience,NULL,6,87.2,9500,1896,Young adults,$5M-$40M,R,Fear|Survival|Unknown,Jump scares|Building tension|Isolation,Slasher|Supernatural|Psychological,Thriller|Mystery,1980s
GEN-308,Biography,Stories based on real people's lives,GEN-301,10,83.5,2750,1899,Adults,$15M-$80M,PG-13|R,Achievement|Struggle|Legacy,Life journey|Historical events|Personal challenges,Historical|Artist|Sports,History|Drama,2010s
GEN-309,Historical,Stories set in the past with attention to historical accuracy,GEN-301,14,105.3,3250,1903,Adults,$20M-$150M,PG-13|R,Society|Conflict|Change,Period settings|Historical events|Cultural contexts,War|Period|Costume,Drama|Biography,2000s
GEN-310,Fantasy,Stories with magical or supernatural elements in imaginary worlds,NULL,5,158.3,3750,1900,General audience,$50M-$200M,PG|PG-13,Wonder|Good vs Evil|Magic,Quests|Magical creatures|Chosen ones,Epic|Dark|Contemporary,Adventure|Sci-Fi,2000s
GEN-311,Adventure,Action-oriented stories involving journey, danger, and discovery,NULL,3,175.2,9000,1903,General audience,$40M-$180M,PG|PG-13,Exploration|Challenge|Discovery,Journeys|Obstacles|Exotic locations,Survival|Historical|Fantasy,Action|Family,1980s
GEN-312,Epic,Grand-scale stories with sweeping narratives and heroic characters,GEN-311,15,190.5,750,1916,General audience,$100M-$250M,PG-13,Destiny|Heroism|Conflict,Large scale|Historical settings|Multiple storylines,Historical|Fantasy|War,Adventure|Drama,2000s
GEN-313,Biography Crime,Stories based on real criminals or crime investigations,GEN-302,24,75.4,450,1931,Adults,$20M-$90M,R,Justice|Notoriety|Psychology,Real crimes|Historical context|Investigation,Gangster|True Crime|Police,Crime|Biography,1990s
GEN-314,Sci-Fi Thriller,Stories combining scientific concepts with suspenseful elements,GEN-305,18,132.6,850,1927,Adults,$30M-$150M,PG-13|R,Technology|Fear|Control,Scientific mystery|Danger|Conspiracies,Dystopian|Space|Time,Sci-Fi|Thriller,2010s
GEN-315,Psychological Thriller,Thrillers focusing on characters' mental states and perceptions,GEN-305,11,98.3,1850,1926,Adults,$10M-$60M,R,Sanity|Perception|Trust,Mind games|Unreliable narrators|Twists,Mystery|Crime|Horror,Thriller|Drama,1990s
GEN-316,Sci-Fi Adventure,Science fiction stories with journey and exploration themes,GEN-311,9,187.3,950,1902,General audience,$80M-$250M,PG-13,Discovery|New worlds|Technology,Space travel|Alien encounters|Future technology,Space Opera|Exploration|Time Travel,Sci-Fi|Adventure,2000s
GEN-317,Romance,Stories centered on romantic relationships and love,NULL,7,105.7,13500,1896,Adults,$15M-$75M,PG-13|R,Love|Passion|Relationships,Meet-cute|Obstacles|Resolution,Romantic Comedy|Drama|Historical,Drama|Comedy,1990s
GEN-318,Historical Romance,Romance stories set in historical periods,GEN-317,19,118.4,675,1913,Adults,$30M-$120M,PG-13,Love|Society|Class,Period settings|Forbidden love|Social conventions,Regency|Victorian|Medieval,Romance|Historical,1990s
GEN-319,Superhero Ensemble,Superhero stories featuring teams of heroes working together,GEN-306,23,312.7,75,1995,General audience,$150M-$400M,PG-13,Teamwork|Diversity|Sacrifice,Team assembly|Combined powers|Global threats,Marvel|DC|Independent,Action|Fantasy,2010s
