person_id,full_name,birth_date,nationality,gender,primary_profession,secondary_profession,active_years_start,active_years_end,total_directed,total_acted,total_produced,total_written,awards_won,award_nominations,debut_film_id,official_website,social_media_handle,height_cm,is_deceased
PER-1001,Leonardo DiCaprio,1974-11-11,American,Male,Actor,Producer,1989,NULL,0,47,8,0,24,165,MOV-2025,NULL,@leonardodicaprio,183,FALSE
PER-1002,Christopher Nolan,1970-07-30,British,Male,Director,Screenwriter,1998,NULL,12,0,12,12,15,130,MOV-2026,NULL,NULL,180,FALSE
PER-1003,Meryl Streep,1949-06-22,American,Female,Actress,NULL,1977,NULL,0,74,0,0,157,356,MOV-2027,NULL,NULL,168,FALSE
PER-1004,Steven Spielberg,1946-12-18,American,Male,Director,Producer,1959,NULL,33,0,175,5,180,394,MOV-2028,NULL,NULL,172,FALSE
PER-1005,Viola Davis,1965-08-11,American,Female,Actress,Producer,1996,NULL,0,65,9,0,158,276,MOV-2029,NULL,@violadavis,165,FALSE
PER-1006,Quentin Tarantino,1963-03-27,American,Male,Director,Screenwriter,1987,NULL,10,19,17,17,36,155,MOV-2030,NULL,NULL,188,FALSE
PER-1007,Frances McDormand,1957-06-23,American,Female,Actress,Producer,1984,NULL,0,47,5,0,91,189,MOV-2031,NULL,NULL,165,FALSE
PER-1008,Martin Scorsese,1942-11-17,American,Male,Director,Producer,1959,NULL,25,5,91,12,94,237,MOV-2032,NULL,NULL,163,FALSE
PER-1009,Cate Blanchett,1969-05-14,Australian,Female,Actress,Producer,1990,NULL,0,77,7,1,114,287,MOV-2033,NULL,NULL,174,FALSE
PER-1010,Hayao Miyazaki,1941-01-05,Japanese,Male,Director,Animator,1963,NULL,11,0,6,14,45,84,MOV-2034,NULL,NULL,164,FALSE
PER-1011,Denzel Washington,1954-12-28,American,Male,Actor,Director,1977,NULL,4,57,10,0,87,253,MOV-2035,NULL,NULL,185,FALSE
PER-1012,Bong Joon-ho,1969-09-14,South Korean,Male,Director,Screenwriter,1994,NULL,7,0,5,7,85,158,MOV-2036,NULL,NULL,174,FALSE
PER-1013,Emma Stone,1988-11-06,American,Female,Actress,Producer,2005,NULL,0,37,5,0,53,147,MOV-2037,NULL,NULL,168,FALSE
PER-1014,James Cameron,1954-08-16,Canadian,Male,Director,Screenwriter,1978,NULL,9,0,25,16,125,221,MOV-2038,NULL,NULL,187,FALSE
PER-1015,Mahershala Ali,1974-02-16,American,Male,Actor,NULL,2004,NULL,0,42,0,0,62,95,MOV-2039,NULL,@mahershalaali,189,FALSE
PER-1016,Sofia Coppola,1971-05-14,American,Female,Director,Screenwriter,1972,NULL,8,8,12,9,41,106,MOV-2040,NULL,NULL,163,FALSE
PER-1017,Tom Hanks,1956-07-09,American,Male,Actor,Producer,1980,NULL,1,87,58,2,92,177,MOV-2041,NULL,@tomhanks,183,FALSE
PER-1018,Greta Gerwig,1983-08-04,American,Female,Director,Actress,2006,NULL,4,26,6,6,27,132,MOV-2042,NULL,NULL,173,FALSE
PER-1019,Anthony Hopkins,1937-12-31,British,Male,Actor,Director,1960,NULL,2,91,1,0,63,141,MOV-2043,NULL,@anthonyhopkins,175,FALSE
PER-1020,Alfonso Cuarón,1961-11-28,Mexican,Male,Director,Screenwriter,1983,NULL,8,0,16,15,78,184,MOV-2044,NULL,NULL,178,FALSE
PER-1021,Saoirse Ronan,1994-04-12,Irish,Female,Actress,NULL,2003,NULL,0,31,0,0,52,173,MOV-2045,NULL,NULL,168,FALSE
PER-1022,Jordan Peele,1979-02-21,American,Male,Director,Actor,2003,NULL,3,25,12,7,26,87,MOV-2046,NULL,@jordanpeele,178,FALSE
PER-1023,Joaquin Phoenix,1974-10-28,American,Male,Actor,Producer,1982,NULL,0,51,4,0,81,214,MOV-2047,NULL,NULL,173,FALSE
PER-1024,Kathryn Bigelow,1951-11-27,American,Female,Director,Producer,1978,NULL,10,0,8,3,54,127,MOV-2048,NULL,NULL,180,FALSE
PER-1025,Daniel Day-Lewis,1957-04-29,British-Irish,Male,Actor,NULL,1971,2017,0,22,0,0,142,207,MOV-2049,NULL,NULL,187,FALSE
PER-1026,Wes Anderson,1969-05-01,American,Male,Director,Screenwriter,1994,NULL,10,1,12,12,47,198,MOV-2050,NULL,NULL,175,FALSE
PER-1027,Scarlett Johansson,1984-11-22,American,Female,Actress,Producer,1994,NULL,1,68,9,0,68,210,MOV-2051,NULL,NULL,160,FALSE
